Season,Conference,W,L,OT,P,ROW,HROW,RROW,P%,G/GP,GA/GP,5-5 F/A,PP%,PK%,S/GP,SA/GP,Sc 1%,Tr 1st%,Ld 1%,Ld 2%,OS%,OSB%,FO%,Team,PGP,PW,PL,POT,PG/GP,PGA/GP,P5-5 F/A,PPP,PPK,PS/GP,PSA/GP,PSc 1%,PTr 1st%,PLd 1%,PLd 2%,POS%,POSB%,PFO%,Playoffs,StanleyCup
2005-2006,West,43,27,12,98,40,25,15,0.598,3.06,2.71,1.2,18.1,83.5,31.5,29.6,0.684,0.386,0.688,0.838,0.551,0.448,50.8,ANAHEIM,16,9,7,1,2.88,2.25,1.67,10.8,88.5,33,26.2,0.857,0.333,0.75,1,0.5,1,47.4,1,0
2005-2006,East,41,33,8,90,36,21,15,0.549,3.37,3.29,1,18.9,79.2,30.8,30.3,0.719,0.36,0.741,0.88,0.512,0.5,50.1,WINNIPEG(ATLANTA),,,,,,,,,,,,,,,,,,,0,0
2005-2006,East,29,37,16,74,27,14,13,0.451,2.78,3.15,0.94,14.8,83.7,30.6,32.1,0.525,0.19,0.556,0.697,0.419,0.32,52,BOSTON,,,,,,,,,,,,,,,,,,,0,0
2005-2006,East,52,24,6,110,47,26,21,0.671,3.37,2.85,1.01,21.2,86.6,30.6,30.5,0.8,0.432,0.875,0.892,0.689,0.576,49.7,BUFFALO,18,11,7,1,3.33,2.72,1.35,16.2,82.6,28.1,29.1,0.769,0.2,0.75,0.9,0.667,0.625,47.7,1,0
2005-2006,West,46,25,11,103,44,30,14,0.628,2.63,2.35,1.16,18.2,84.2,28,27.6,0.64,0.438,0.629,0.868,0.628,0.457,50.4,CALGARY,7,3,4,1,2.29,2.43,0.89,14,86.4,25.3,29,0.75,0,0.5,1,0,0.5,50.3,1,0
2005-2006,East,52,22,8,112,44,27,17,0.683,3.49,3.15,1.02,17.9,81.8,31.1,30.5,0.878,0.39,0.875,0.939,0.674,0.605,51.7,CAROLINA,25,16,9,3,2.92,2.4,1.06,24,85.4,28.8,27,0.8,0.533,1,1,0.769,0.455,51.2,1,1
2005-2006,West,26,43,13,65,24,16,8,0.396,2.55,3.4,0.84,12.2,83.9,30.2,29.5,0.533,0.192,0.619,0.81,0.282,0.366,48.9,CHICAGO,,,,,,,,,,,,,,,,,,,0,0
2005-2006,West,43,30,9,95,40,24,16,0.579,3.42,3.06,1.09,18.8,84.6,30,29.5,0.633,0.364,0.636,0.909,0.605,0.442,48.1,COLORADO,9,4,5,1,2.44,3.44,0.67,9.6,86,28.6,33.1,0.4,0.5,0.667,1,0.667,0.333,50.6,1,0
2005-2006,West,35,43,4,74,27,20,7,0.451,2.62,3.37,0.82,14.2,81.8,27.4,33.7,0.559,0.333,0.6,0.882,0.529,0.391,49.4,COLUMBUS,,,,,,,,,,,,,,,,,,,0,0
2005-2006,West,53,23,6,112,41,23,18,0.683,3.08,2.65,1.21,17.7,83.7,28.5,25.6,0.721,0.564,0.857,0.816,0.653,0.613,50.3,DALLAS,5,1,4,3,3,3.6,0.73,16.1,82.1,31.2,27.2,0,0.333,0,0.333,0.333,0,55.1,1,0
2005-2006,West,58,16,8,124,54,25,29,0.756,3.67,2.51,1.48,22.1,85.5,34.1,26.6,0.745,0.657,0.794,0.95,0.71,0.75,52.8,DETROIT,6,2,4,1,2.83,3.17,1.12,20,78.4,39.7,26,0.5,0.25,0.5,0,0.333,0,53.4,1,0
2005-2006,West,41,28,13,95,34,17,17,0.579,3.04,2.95,0.9,18.1,84.1,29.8,25.5,0.775,0.238,0.696,0.84,0.5,0.5,53.4,EDMONTON,24,15,9,1,2.92,2.54,0.97,17,86.1,27.3,31.7,0.75,0.375,0.889,0.846,0.75,0.563,52.1,1,0
2005-2006,East,37,34,11,85,33,24,9,0.518,2.88,3.07,1.1,15.3,82.3,33.2,34.8,0.579,0.341,0.765,0.824,0.514,0.413,50.7,FLORIDA,,,,,,,,,,,,,,,,,,,0,0
2005-2006,West,42,35,5,89,36,23,13,0.543,2.96,3.28,0.96,14.2,78.7,29.2,30,0.625,0.405,0.786,0.893,0.568,0.467,49.9,LOS ANGELES,,,,,,,,,,,,,,,,,,,0,0
2005-2006,West,38,36,8,84,33,21,12,0.512,2.76,2.58,0.91,17,87.4,26.8,30,0.643,0.275,0.783,0.828,0.452,0.468,48.3,MINNESOTA,,,,,,,,,,,,,,,,,,,0,0
2005-2006,East,42,31,9,93,40,22,18,0.567,2.94,2.98,1.01,19.2,81.1,30.1,30.6,0.738,0.275,0.731,0.774,0.553,0.465,49.3,MONTREAL,6,2,4,2,2.83,2.5,1.22,22.2,80,27.8,35.3,0.333,0.333,1,0.667,0,0.4,54,1,0
2005-2006,West,49,25,8,106,43,28,15,0.646,3.08,2.73,1.17,18.4,84.6,29,32.5,0.565,0.639,0.706,0.857,0.697,0.532,53.8,NASHVILLE,5,1,4,0,2,3.4,0.38,18.8,75.7,27.4,34.2,0,0.25,0.5,1,0,0.25,58.6,1,0
2005-2006,East,46,27,9,101,37,23,14,0.616,2.84,2.74,0.99,17.8,81.9,29.2,29.3,0.696,0.389,0.844,0.886,0.543,0.512,49.5,NEW JERSEY,9,5,4,1,3,2.33,1.5,19,75.6,25.4,29.4,0.571,0.5,0.75,1,0.5,0.5,46.2,1,0
2005-2006,East,36,40,6,78,27,14,13,0.476,2.7,3.35,0.91,16.9,79.2,30.3,31.1,0.649,0.267,0.64,0.852,0.471,0.422,48.7,NY ISLANDERS,,,,,,,,,,,,,,,,,,,0,0
2005-2006,East,44,26,12,100,37,21,16,0.61,3.05,2.57,1.28,18.9,83.7,29.9,28.8,0.702,0.314,0.829,0.853,0.512,0.553,47.5,NY RANGERS,4,0,4,0,1,4.25,0.33,9.5,70.4,28.5,26,0,0,0,0,0,0,49.8,1,0
2005-2006,East,52,21,9,113,50,28,22,0.689,3.8,2.5,1.49,20.8,84.7,34.3,28.6,0.87,0.333,0.865,0.956,0.673,0.591,50.3,OTTAWA,10,5,5,3,3.6,2.9,1,25,87.3,32.5,28.9,0.8,0.2,1,1,0.333,0.75,52.6,1,0
2005-2006,East,45,26,11,101,41,19,22,0.616,3.21,3.08,1.04,18,79.1,31.1,28.9,0.689,0.378,0.767,0.769,0.58,0.517,49.5,PHILADELPHIA,6,2,4,1,2.33,4.5,0.5,10.3,82.9,26.7,34.2,0,0.333,0,1,1,0.2,50.3,1,0
2005-2006,West,38,39,5,81,34,17,17,0.494,2.95,3.27,0.88,17.7,80.9,28.3,30.2,0.622,0.333,0.708,0.8,0.474,0.463,49.2,PHOENIX,,,,,,,,,,,,,,,,,,,0,0
2005-2006,East,22,46,14,58,21,11,10,0.354,2.96,3.78,0.83,19,78.8,28,33.2,0.594,0.06,0.722,0.81,0.32,0.25,45.9,PITTSBURGH,,,,,,,,,,,,,,,,,,,0,0
2005-2006,West,44,27,11,99,43,24,19,0.604,3.23,2.87,1.13,18.2,80.7,30.3,26.6,0.75,0.333,0.833,0.906,0.593,0.444,48.4,SAN JOSE,11,6,5,1,2.64,2.64,1.29,15.3,80.6,31.5,28.6,0.667,0.4,0.75,0.857,0.714,0.25,41.3,1,0
2005-2006,West,21,46,15,57,17,10,7,0.348,2.35,3.46,0.61,14.6,82.2,28.5,30.6,0.4,0.119,0.524,0.5,0.237,0.273,50.7,ST LOUIS,,,,,,,,,,,,,,,,,,,0,0
2005-2006,East,43,33,6,92,37,21,16,0.561,3,3.12,0.88,16.7,81.5,31.6,27.6,0.682,0.342,0.833,0.839,0.569,0.462,50.1,TAMPA BAY,5,1,4,0,2.6,4.6,0.67,12.9,66.7,34.2,31.2,0,0.25,0,0,0.333,0,48.1,1,0
2005-2006,East,41,33,8,90,38,23,15,0.549,3.1,3.21,0.84,21.4,80,28.3,30.6,0.614,0.368,0.655,0.867,0.444,0.51,51.6,TORONTO,,,,,,,,,,,,,,,,,,,1,0
2005-2006,West,42,32,8,92,38,23,15,0.561,3.07,3.06,0.95,18.2,81.8,28.8,30.1,0.667,0.391,0.909,0.818,0.6,0.469,48.1,VANCOUVER,,,,,,,,,,,,,,,,,,,1,0
2005-2006,East,29,41,12,70,22,11,11,0.427,2.8,3.66,0.92,14.7,78.9,29.8,35.1,0.432,0.289,0.381,0.818,0.417,0.339,50.4,WASHINGTON,,,,,,,,,,,,,,,,,,,1,0
2006-2007,West,48,20,14,110,44,25,19,0.671,3.1,2.42,1.15,22.4,85.1,31.5,27.4,0.708,0.412,0.724,0.842,0.556,0.64,51.8,ANAHEIM,21,16,5,1,2.76,2.14,1.42,15.2,86.8,30.5,27.6,0.833,0.667,1,1,0.818,0.667,50.6,1,1
2006-2007,East,43,28,11,97,36,19,17,0.591,2.92,2.94,1.1,16.5,79.8,29.7,31.5,0.614,0.421,0.667,0.727,0.433,0.563,52.9,WINNIPEG(ATLANTA),4,0,4,0,1.5,4.25,0.5,5.9,79.2,24.8,35.8,0,0,0,0,0,0,46.8,1,0
2006-2007,East,35,41,6,76,26,13,13,0.463,2.56,3.48,0.71,17.2,81.7,28.9,33.5,0.581,0.256,0.607,0.72,0.536,0.373,48.3,BOSTON,,,,,,,,,,,,,,,,,,,0,0
2006-2007,East,53,22,7,113,43,23,20,0.689,3.63,2.9,1.43,17.4,81.4,29.5,31,0.729,0.529,0.893,0.848,0.676,0.643,51.4,BUFFALO,16,9,7,3,2.75,2.44,1.45,12.5,81.3,29.9,30.6,0.714,0.444,0.75,1,0.556,0.571,49.5,1,0
2006-2007,West,43,29,10,96,40,28,12,0.585,3.11,2.7,1.24,18.2,80.4,27.3,30.5,0.674,0.333,0.806,0.933,0.667,0.462,48.4,CALGARY,6,2,4,1,1.67,3,0.27,17.6,86.8,21.5,42.5,0.667,0,0,1,0,0.333,45.4,1,0
2006-2007,East,40,34,8,88,40,21,19,0.537,2.94,3.02,0.86,15,84.6,31.2,28.5,0.727,0.327,0.885,0.9,0.49,0.414,52.3,CAROLINA,,,,,,,,,,,,,,,,,,,0,0
2006-2007,West,31,42,9,71,25,15,10,0.433,2.38,3.06,0.86,11.8,82.6,26.8,29.4,0.55,0.214,0.571,0.739,0.321,0.38,47.8,CHICAGO,,,,,,,,,,,,,,,,,,,0,0
2006-2007,West,44,31,7,95,39,21,18,0.579,3.26,3.01,1.09,21.1,80.2,31.7,29,0.667,0.419,0.692,0.818,0.549,0.483,48.6,COLORADO,,,,,,,,,,,,,,,,,,,0,0
2006-2007,West,33,42,7,73,28,17,11,0.445,2.39,2.98,0.85,14.8,81.2,27.7,28.6,0.697,0.204,0.8,0.808,0.351,0.45,50.2,COLUMBUS,,,,,,,,,,,,,,,,,,,0,0
2006-2007,West,50,25,7,107,41,26,15,0.652,2.65,2.35,1.06,18.5,84.4,28,25.4,0.78,0.439,0.893,0.882,0.638,0.613,50.1,DALLAS,7,3,4,2,1.71,1.86,1,10,92.1,34.3,33,0.6,0,0.667,0.667,0.667,0.25,53.8,1,0
2006-2007,West,50,19,13,113,48,28,20,0.689,3.07,2.33,1.47,17.1,84.6,33.8,24.6,0.791,0.41,0.741,0.892,0.667,0.5,53.6,DETROIT,18,10,8,2,2.67,1.94,1.32,18.4,86.8,34.7,24.7,0.75,0.4,0.833,0.875,0.538,0.75,53.2,1,0
2006-2007,West,32,43,7,71,29,17,12,0.433,2.34,2.99,0.77,14.2,84.6,26.7,29.7,0.55,0.238,0.682,0.917,0.385,0.4,51.5,EDMONTON,,,,,,,,,,,,,,,,,,,0,0
2006-2007,East,35,31,16,86,33,22,11,0.524,2.99,3.04,1.09,18.1,82.4,33.3,29.3,0.649,0.244,0.64,0.765,0.49,0.241,47.9,FLORIDA,,,,,,,,,,,,,,,,,,,0,0
2006-2007,West,27,41,14,68,23,13,10,0.415,2.72,3.38,0.77,18.3,77.9,31,29.8,0.459,0.222,0.571,0.708,0.34,0.281,47.7,LOS ANGELES,,,,,,,,,,,,,,,,,,,0,0
2006-2007,West,48,26,8,104,38,22,16,0.634,2.74,2.24,1.06,19,86,29.6,28.8,0.732,0.439,0.815,0.966,0.674,0.5,47.6,MINNESOTA,5,1,4,0,1.8,2.4,1.2,7.4,73.7,28.8,29.2,0,0.25,0,0,0.333,0,51.6,1,0
2006-2007,East,42,34,6,90,36,22,14,0.549,2.92,3.06,0.75,22.8,83.5,29.6,32.7,0.742,0.373,0.737,0.867,0.5,0.52,49.5,MONTREAL,,,,,,,,,,,,,,,,,,,0,0
2006-2007,West,51,23,8,110,45,26,19,0.671,3.24,2.52,1.28,17.4,85.8,27.6,31.2,0.731,0.433,0.744,0.854,0.75,0.551,50.3,NASHVILLE,5,1,4,1,2.8,3.2,0.64,13.6,93.3,26.8,32.6,0,0.25,0.5,1,0,0.333,47.2,1,0
2006-2007,East,49,24,9,107,39,19,20,0.652,2.51,2.35,0.95,17.7,85.2,28.7,28.4,0.739,0.417,0.783,0.912,0.711,0.538,49,NEW JERSEY,11,5,6,0,2.73,2.64,1.12,20,82.6,28.8,30.3,0.833,0,0.833,1,0.2,0.667,49.7,1,0
2006-2007,East,40,30,12,92,32,18,14,0.561,2.93,2.87,1.18,18.1,81.8,30,32.6,0.738,0.225,0.821,0.829,0.533,0.46,51.6,NY ISLANDERS,5,1,4,0,2.2,3.4,0.62,10.5,83.3,26.8,32.4,0.5,0,1,1,0,0.25,52.7,1,0
2006-2007,East,42,30,10,94,33,17,16,0.573,2.84,2.57,1.1,18.5,83.8,31.5,28.4,0.667,0.324,0.645,0.771,0.469,0.594,49.9,NY RANGERS,10,6,4,1,3,2.3,0.94,24.1,88.5,34.3,29.2,0.625,0.5,0.75,0.833,0.714,0.333,49.6,1,0
2006-2007,East,48,25,9,105,46,24,22,0.64,3.49,2.63,1.4,17.9,84.5,32.3,30.2,0.75,0.353,0.789,0.8,0.617,0.563,50.3,OTTAWA,20,13,7,1,2.95,2.35,1,19,87.9,28.6,25.2,0.8,0.5,0.833,0.833,0.692,0.571,51.2,1,0
2006-2007,East,22,48,12,56,21,9,12,0.341,2.6,3.62,0.66,14.1,84.5,28.8,32.6,0.5,0.135,0.625,0.923,0.281,0.265,47.1,PHILADELPHIA,,,,,,,,,,,,,,,,,,,0,0
2006-2007,West,31,46,5,67,26,15,11,0.409,2.57,3.44,0.78,16.5,78.4,28.3,30.1,0.621,0.245,0.714,0.792,0.5,0.292,52.7,PHOENIX,,,,,,,,,,,,,,,,,,,0,0
2006-2007,East,47,24,11,105,37,21,16,0.64,3.26,2.93,1.04,20.3,82.1,28.9,30.9,0.674,0.462,0.676,0.848,0.645,0.543,47,PITTSBURGH,5,1,4,0,2,3.6,0.55,14.3,75,22,30.2,0.5,0,1,0,0,0.2,46,1,0
2006-2007,West,51,26,5,107,49,25,24,0.652,3.12,2.4,1.12,22.4,83.3,28.6,26.2,0.833,0.4,0.853,0.891,0.66,0.536,51.1,SAN JOSE,11,6,5,1,2.27,2.46,1.31,7,83,27.9,29.5,0.5,0.667,0.571,0.667,0.5,0.571,49.7,1,0
2006-2007,West,34,35,13,81,28,16,12,0.494,2.54,3.02,1.03,12.1,80,26.9,28.9,0.568,0.237,0.5,0.767,0.394,0.444,51.1,ST LOUIS,,,,,,,,,,,,,,,,,,,0,0
2006-2007,East,44,33,5,93,34,18,16,0.567,2.96,3.16,0.89,18.4,78.4,29.5,27.2,0.683,0.39,0.769,0.815,0.604,0.424,48.9,TAMPA BAY,6,2,4,1,2.33,3.17,0.73,15.4,75,28,28.2,1,0,1,0,0,0.667,48.8,1,0
2006-2007,East,40,31,11,91,36,20,16,0.555,3.1,3.2,1.11,17.7,78.5,32.7,28.4,0.659,0.317,0.769,0.8,0.526,0.421,51.9,TORONTO,,,,,,,,,,,,,,,,,,,0,0
2006-2007,West,49,26,7,105,44,22,22,0.64,2.65,2.4,1,17.2,86.9,29.3,29.2,0.773,0.395,0.778,0.833,0.641,0.538,49.2,VANCOUVER,12,5,7,3,1.75,2.17,0.83,6,89.5,32.2,36.5,0.6,0.286,0,0.5,0.667,0.167,47,1,0
